用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
阿芙樂爾,男,回复 @魔法咪路喵喵 :小人也讲为国为民？？[大笑][大笑][大笑]祸国殃民罢了，没有见识肆意批判，要是社会上用你这种狂犬，国将不国,浅唐色,二级评论,5,3,2024-06-09 16:13:09
萌萌x小仙女,保密,是的 我也是 每天逼自己看一个纪录片 我相信腹有诗书气自华,浅唐色,二级评论,3,1,2024-06-13 10:32:59
胡椒不黑,保密,回复 @魔法咪路喵喵 :区别就是深入思考内化于心。,浅唐色,二级评论,4,1,2024-06-14 01:20:37
辞职要饭去吧,保密,"回复 @魔法咪路喵喵 :拿不伦不类的比喻阴阳怪气个什么劲儿。纪录片与短视频之间的差别，跟长衫短衫一样吗？读优质的好书难道不比读碎片化的闲书强吗？
学我者生，像我者死。祥子因为本身认知不高错误的追求表面穿衣，楼主认识到不同的书亦有差距，选择优质的内容学习。这截然不同的两种情况在你这儿就能相提并论了？非蠢既坏",浅唐色,二级评论,5,32,2024-06-14 23:27:56
星辰低语,保密,我觉得我要是逼着我自己学我就不会真的学进去脑子不听🙉啊[妙啊],浅唐色,二级评论,4,1,2024-06-15 14:12:26
锁进月亮的窗-,保密,回复 @魔法咪路喵喵 :自命清高自认不凡，只会伸着指头对着别人指指点点，写了这么一大段也不知所云，跳梁小丑……,浅唐色,二级评论,3,9,2024-06-17 00:19:03
纪周一丁,保密,太对了，就应该这样。我认识到了！,浅唐色,二级评论,3,1,2024-06-17 08:34:12
無敌の人,女,回复 @魔法咪路喵喵 :good,浅唐色,二级评论,6,0,2024-06-19 11:23:10
xiaoyi2111,保密,我也是，比短剧有意思多了,浅唐色,二级评论,3,0,2024-06-27 20:32:37
憨厚的小浣熊,男,回复 @香泠blue :是的,浅唐色,二级评论,4,0,2024-07-18 13:17:22
憨厚的小浣熊,男,是的,浅唐色,二级评论,4,0,2024-07-18 13:18:21
实数Boy,男,我也是今天才发现[妙啊][点赞],浅唐色,二级评论,6,1,2024-07-21 11:54:38
账号已注销,保密,回复 @魔法咪路喵喵 :看了你这一堆前后不着调的话 还是觉得是要多读书 不然和你一样蠢,浅唐色,二级评论,0,4,2024-07-25 17:40:46
F-Karen,保密,同感，现在才看到你这样的评论20240805,浅唐色,二级评论,2,1,2024-08-05 23:09:15
爱喝奶茶的ELF,保密,回复 @香泠blue :暑假正愁给小学生看点什么好 发现找来找去还是央视的好 但小朋友对这些（例如 地球 动植物 古诗词 艺术 等纪录片）不感兴趣 就喜欢看些蛋仔啊 搞笑视频什么的 作为本就喜欢看书不喜欢那些没营养的小视频的我来说 实在无法理解 不知道如何拯救了,浅唐色,二级评论,3,3,2024-08-28 02:31:28
Kisszhg,保密,回复 @小小米2023 :需要会员吗 央视频,浅唐色,二级评论,2,0,2024-08-28 14:38:58
fjvdhvutdgjbjjhb,女,回复 @魔法咪路喵喵 :你在这优越啥呢,浅唐色,二级评论,6,2,2024-09-07 04:09:51
杯-邀-月,保密,回复 @魔法咪路喵喵 :呵呵,浅唐色,二级评论,2,0,2024-09-18 18:27:41
小段时间的,女,回复 @软妹爱撕纸 :他自己估计不带看书吧  刺激别人  都不要看  这样就不会显得他是个不看书的[笑哭],浅唐色,二级评论,4,0,2024-09-19 10:18:51
杰横天下,保密,回复 @魔法咪路喵喵 :呵呵，读书如果是为了高人一等就失去了意义，那样的人不叫读书人,浅唐色,二级评论,5,1,2024-09-19 22:23:44
鼠鼠我应该怎么办,保密,对，现在短视频翻来覆去就那一段套路实在没有意思而且还费时间,浅唐色,二级评论,3,0,2024-09-22 20:00:45
爱e毁,保密,感觉纪录片也挺好看的,浅唐色,二级评论,2,0,2024-10-07 19:18:02
小Ayisha,女,回复 @Mm梦梦姐 :河西走廊[给心心]，这是我看过最好的纪录片,浅唐色,二级评论,6,0,2024-10-23 12:30:16
斯图尔特J,保密,我也觉得刷短视频久了，精神非常匮乏，情绪也容易不稳定,浅唐色,二级评论,4,4,2024-10-25 17:20:55
呜哇哇哇的小蕾,保密,回复 @魔法咪路喵喵 :你是真的又蠢又爱装[吃瓜]还挺剑,浅唐色,二级评论,4,1,2024-11-06 09:44:53
平安小兔纸R,女,向你们学习[打call],浅唐色,二级评论,5,0,2024-11-10 23:39:07
憨厚的小浣熊,男,安财报到,浅唐色,二级评论,4,0,2024-12-17 18:06:42
